Combined Levels,Target
travel.attraction,N/A
travel.historical.archaeological_site,N/A
travel.historical.art_museum,N/A
travel.historical.castle,N/A
travel.historical.children_museum,Mom
travel.historical.fountain,N/A
travel.historical.memorial,N/A
travel.historical.monument,N/A
travel.historical.museum,N/A
travel.historical.ruins,N/A
travel.historical.science_museum,N/A
travel.historical.sculpture,N/A
travel.historical.statue,N/A
travel.historical,N/A
travel.resort.beach,N/A
travel.resort.golf_course,N/A
travel.resort.ski,N/A
travel.resort,N/A
travel.service.agent,N/A
travel.service.currency,N/A
travel.service,N/A
travel.worship.ashram,N/A
travel.worship.shrine,N/A
travel.worship.synagogue,N/A
travel.worship,N/A
